"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000938.13",904.108284556535,-2.09000083864176,0.5194396114104,-4.02356846249541,5.73229103946992e-05,0.0117951585621935
"ENSG00000005844.19",1017.30434507417,-2.37447760794707,0.634775147648236,-3.74065937638583,0.000183538119256807,0.0217560837917055
"ENSG00000007129.18",91.8686836858968,-1.95457207828497,0.52915751321939,-3.69374341184986,0.000220976783110505,0.0240935124437657
"ENSG00000007264.15",201.051703746792,-2.05367147841373,0.544178969111449,-3.77388983217602,0.000160721756976386,0.0200631817227853
"ENSG00000010327.10",3491.25065148039,-1.46569708689658,0.422932698870414,-3.46555631856139,0.000529135691598673,0.037954849018364
"ENSG00000010671.16",551.4983679975,-2.18259800992839,0.60505728605258,-3.6072584534396,0.000309449386469921,0.0292024184811115
"ENSG00000015285.11",806.155887464162,-1.85116616971753,0.529952112193635,-3.49308197311448,0.000477479912006577,0.0362977576441222
"ENSG00000028277.21",488.479209304161,-2.25547723685481,0.608138538718747,-3.70882141692047,0.000208226218805788,0.0232592935920735
"ENSG00000066336.12",1424.81154755463,-1.56119095436454,0.46888717115464,-3.32956636565699,0.000869813325232462,0.0488734445107447
"ENSG00000073861.3",60.5870048181017,-2.93543374778658,0.625291527898613,-4.6945042701147,2.67254028578982e-06,0.00197674081084352
"ENSG00000086288.12",18.5275744003175,-1.76446044789003,0.504040327052198,-3.50063348742193,0.000464153715963933,0.0355812177725069
"ENSG00000086300.16",788.203235810654,-1.53242222422505,0.438943354191558,-3.49116169453676,0.000480925099966931,0.036394462866303
"ENSG00000093100.13",5.51703752515137,-1.80054358354701,0.526033600480315,-3.42286801052813,0.000619641573767787,0.0408395605788465
"ENSG00000096996.16",260.611148764097,-1.75272094263254,0.48181539492497,-3.63774375226321,0.00027503685716779,0.026978256882118
"ENSG00000100027.17",99.0673670365249,-1.19712760300536,0.333158479492304,-3.59326769899313,0.000326556785967183,0.0300752839168985
"ENSG00000100055.21",899.05671287587,-1.76469832260987,0.457293700584371,-3.85900422497573,0.000113849969753055,0.0172139896255903
"ENSG00000100292.18",1831.72429564986,-1.90051710075581,0.43990113065767,-4.32032783801773,1.55797566286448e-05,0.00567955858901884
"ENSG00000102445.20",341.961968339685,-2.06688934996439,0.600224893184037,-3.44352487448509,0.000574183772490287,0.0392908253404721
"ENSG00000104081.14",1165.25352365114,-1.53283258947578,0.345851644179011,-4.43205234173297,9.33403507642884e-06,0.00437730756479297
"ENSG00000104951.16",475.401115389958,-2.03945605382972,0.596426191447873,-3.41946092085389,0.000627453444082196,0.0410654906032679
"ENSG00000104972.15",353.067546472446,-2.15578935467323,0.576465895842034,-3.73966503521307,0.000184265636847576,0.0217560837917055
"ENSG00000105374.10",292.531795968259,-2.3677584376857,0.566993409949135,-4.1759893433296,2.9669370931313e-05,0.00837073891007467
"ENSG00000105383.15",181.609614490234,-1.80770318370225,0.481244594940616,-3.75630854394389,0.000172438078060649,0.0208292641399005
"ENSG00000105501.12",6.25322577184142,-2.16210622265388,0.641892886636721,-3.36832868484104,0.000756253795830092,0.045090190916083
"ENSG00000105609.17",219.47130455935,-2.55582321136878,0.675200082617834,-3.78528272902388,0.000153533924760596,0.0196344061631927
"ENSG00000105610.6",2.42290474303433,-2.21760739812129,0.556714882129274,-3.98338084593604,6.79417437972312e-05,0.0127319574456664
"ENSG00000107099.16",1776.65481626108,-1.82911161380406,0.505095771550412,-3.62131642517919,0.000293107753400155,0.028444964139369
"ENSG00000107551.21",2470.54051955171,-1.52183177463408,0.413341805552414,-3.6817756011885,0.000231615231325036,0.0247999370544416
"ENSG00000107798.18",5025.6888678563,-1.33305772299833,0.373137651543282,-3.57256287990464,0.000353504563958683,0.0309047924130914
"ENSG00000108691.9",2021.37595388117,-2.23562831896548,0.654981660075202,-3.41326857718244,0.000641886491898933,0.041332959114819
"ENSG00000108798.9",728.420482691297,-1.5348379007168,0.399773403895953,-3.83926966066074,0.000123400838650309,0.0178683108536667
"ENSG00000110031.13",980.642868743226,-1.4053772777877,0.411339649764787,-3.4165859736384,0.000634116377073413,0.0410731287649937
"ENSG00000111679.17",3234.23451398375,-1.35934844704153,0.308363902071296,-4.40826062295463,1.04204106557178e-05,0.00460728196334343
"ENSG00000112799.9",486.951535826842,-1.99509388707492,0.556491312315846,-3.58513033882292,0.000336909904015638,0.0303829895602775
"ENSG00000115956.10",1006.12919081278,-2.16577484123326,0.598214236337478,-3.62040003342792,0.000294147883563163,0.0284450357931911
"ENSG00000117009.12",76.4806373824575,-2.26163867814423,0.537575056819466,-4.20711238264121,2.58654529809041e-05,0.0076941288231348
"ENSG00000117245.13",95.914293747537,-1.79418088441087,0.498105519366525,-3.60200964384545,0.000315766647218179,0.0295944720356846
"ENSG00000118526.7",137.491658178629,-1.62873044867463,0.478095845398846,-3.40670278637514,0.000657526852641163,0.0417506667661965
"ENSG00000121210.16",873.251639511169,-1.88726242380562,0.489453539400798,-3.85585611683605,0.000115325308434511,0.0172518704013322
"ENSG00000122122.10",907.476190000622,-2.26671383214913,0.635114094423798,-3.56898681992814,0.000358364451520291,0.0310210890124308
"ENSG00000122223.13",58.9448789383228,-2.20930366402262,0.56478821569511,-3.91173824564227,9.1634198459846e-05,0.0151985036924279
"ENSG00000123329.20",627.971143143896,-2.00424321670697,0.580166430515688,-3.45460045822622,0.000551108859690883,0.0387717125016977
"ENSG00000123338.13",1753.40140910308,-1.91779708926266,0.559229779453777,-3.4293543722508,0.000605019013221337,0.0403607465327799
"ENSG00000126838.10",11.1107459637744,-2.33222758818644,0.541926721922968,-4.30358477233008,1.68056501743892e-05,0.0058964131836219
"ENSG00000127084.19",843.963075058367,-1.66514625255342,0.48967147477813,-3.40053758146295,0.000672534905066336,0.0423109488435642
"ENSG00000128815.19",879.545702018131,-2.59081601396754,0.728835876630099,-3.55473172636154,0.000378364934473868,0.0319589912399579
"ENSG00000133048.13",1765.79584890741,-2.63535092431199,0.774643699734686,-3.40201685654268,0.000668905119091291,0.0421795539036206
"ENSG00000134061.5",395.073536239974,-2.26231070576043,0.659884836561893,-3.42834170511848,0.000607280567984637,0.0403607465327799
"ENSG00000135218.19",1561.99686947604,-2.94122632912637,0.733329664159861,-4.01078324370798,6.05176507829679e-05,0.0120013518041846
"ENSG00000135723.14",1365.82977925967,-1.12108291868511,0.264114341929831,-4.24468777611082,2.18897996791428e-05,0.0071876893234006
"ENSG00000136011.15",78.9227388019438,-4.72320811071315,0.815450722751506,-5.79214412218072,6.94934674795792e-09,2.37728465564206e-05
"ENSG00000136490.9",1357.57655619923,-1.96685454225146,0.586188551737211,-3.3553274563663,0.000792710900090161,0.0462339824531216
"ENSG00000137101.13",432.896791157439,-2.30147104011652,0.606777859135483,-3.79293839659142,0.000148875099395256,0.0196050004297584
"ENSG00000138756.18",385.944567673078,-1.10202797491762,0.318072108582451,-3.46471113053268,0.000530801302947075,0.037954849018364
"ENSG00000138964.17",876.187238583127,-2.05411323257245,0.571230763957508,-3.595942939665,0.000323218648097369,0.0299848296355278
"ENSG00000140678.17",1771.90064171692,-1.74246628444625,0.4915266924065,-3.54500846315219,0.000392600480323104,0.0327570041006171
"ENSG00000140968.11",1907.08337362658,-2.13647463322503,0.564150427729254,-3.78706552049335,0.000152436914189083,0.0196344061631927
"ENSG00000142347.19",1403.21446266606,-1.68340090673433,0.450575880339736,-3.73610967694284,0.000186889179737866,0.0218572486405393
"ENSG00000143768.13",14.6249490429273,-3.03443842496137,0.685728329179647,-4.42513207612634,9.63832958767266e-06,0.00439620276376396
"ENSG00000143869.7",107.913062508744,-3.2269621042944,0.684059352050895,-4.71737151845021,2.38911180294409e-06,0.00192302419738738
"ENSG00000145416.13",615.355805169157,-1.78155350987037,0.478787190349642,-3.72097154180203,0.000198457804184715,0.0225018283517077
"ENSG00000146094.15",603.719142585896,-1.9827341901791,0.479159506801588,-4.1379418795506,3.50435107302505e-05,0.00912275136734625
"ENSG00000146192.15",747.153995869326,-2.16215760464225,0.495541750675968,-4.36321985320682,1.28162029558823e-05,0.0050114408364301
"ENSG00000148600.15",42.6859153677343,-2.56233598398871,0.757118531001765,-3.38432607190107,0.000713532098205199,0.0438814223181611
"ENSG00000150045.12",33.1348270139684,-3.10457294329184,0.551617335745979,-5.62812794687348,1.82175941913698e-08,4.53237182032017e-05
"ENSG00000152689.18",823.103955318642,-1.39338566608557,0.408656052754078,-3.40967827760056,0.000650395537747735,0.0416847182237524
"ENSG00000153898.13",146.808852344688,-2.29397372183601,0.624749015386498,-3.67183247246393,0.000240817529601437,0.0252570470250195
"ENSG00000154133.15",756.344702757502,-1.21358890971143,0.364334884278275,-3.33097093383049,0.000865436384480976,0.0488734445107447
"ENSG00000156886.12",29.6610349166734,-3.97066197745189,0.701510313225692,-5.66016194287145,1.51230217228157e-08,4.13871735488297e-05
"ENSG00000157368.11",340.128653852473,-1.91452129959883,0.488990567958324,-3.9152520008566,9.03098315013762e-05,0.01507017779694
"ENSG00000158473.8",246.387816034675,-1.79879637814719,0.536174581489542,-3.35487067132121,0.000794020965139297,0.0462339824531216
"ENSG00000158517.15",198.432152213448,-2.21596542824598,0.662658010692347,-3.34405589684299,0.000825631004966477,0.0476688685926531
"ENSG00000158555.15",983.149266175995,-1.4006782099441,0.363567763494219,-3.85259187030859,0.000116874104263915,0.0172956726357249
"ENSG00000158717.11",738.853297034799,-1.27993725484794,0.339538552972974,-3.769637478987,0.000163484836634674,0.0200631817227853
"ENSG00000160219.12",304.735846357042,-1.69579123316301,0.453711062773449,-3.73760168596498,0.000185783960759753,0.021821243150696
"ENSG00000160321.15",67.6438798945381,-1.84660221392127,0.544041605487431,-3.39422977084045,0.000688219235133567,0.0428056722906826
"ENSG00000160883.11",452.908453192963,-2.37370937697843,0.660610206986899,-3.59320723760101,0.000326632600590288,0.0300752839168985
"ENSG00000161640.15",44.1368970076298,-2.85612313231659,0.848900819498702,-3.36449567100572,0.000766836872362882,0.0452315509454289
"ENSG00000161929.15",247.33403305698,-2.48453027376394,0.626894963446217,-3.9632321499375,7.39418150697404e-05,0.0132259193007424
"ENSG00000163219.12",730.548906074535,-2.07302038911876,0.51803378671291,-4.00170885044534,6.28866518781884e-05,0.0120776372692704
"ENSG00000163687.14",106.404418863976,-3.94800605394068,0.852906528987459,-4.62888478369092,3.67640232556634e-06,0.00243628563186379
"ENSG00000164129.12",10.9551498568119,-3.05158469283112,0.906439733730145,-3.36656104016244,0.000761117356373812,0.0451583893146629
"ENSG00000166839.17",237.081494372777,-1.20150879370971,0.31075629499759,-3.86640210689548,0.000110452769872156,0.016886932698834
"ENSG00000167083.7",81.5515600886945,-1.55604394355024,0.430961148422911,-3.61063624701329,0.000305446795628287,0.0289244375638731
